filename, year, varnm, plev
/home/jwalker/datastore/merra2/daily/1981/merra2_OMEGA70_40E-120E_90S-90N_1981.nc, 1981, OMEGA, 70 OK
/home/jwalker/datastore/merra2/daily/1981/merra2_OMEGA50_40E-120E_90S-90N_1981.nc, 1981, OMEGA, 50 OK
/home/jwalker/datastore/merra2/daily/1981/merra2_OMEGA30_40E-120E_90S-90N_1981.nc, 1981, OMEGA, 30 OK
/home/jwalker/datastore/merra2/daily/1981/merra2_OMEGA20_40E-120E_90S-90N_1981.nc, 1981, OMEGA, 20 OK
/home/jwalker/datastore/merra2/daily/1981/merra2_DOMEGADP1000_40E-120E_90S-90N_1981.nc, 1981, DOMEGADP, 1000 OK
/home/jwalker/datastore/merra2/daily/1981/merra2_DOMEGADP925_40E-120E_90S-90N_1981.nc, 1981, DOMEGADP, 925 OK
/home/jwalker/datastore/merra2/daily/1981/merra2_DOMEGADP850_40E-120E_90S-90N_1981.nc, 1981, DOMEGADP, 850 OK
/home/jwalker/datastore/merra2/daily/1981/merra2_DOMEGADP775_40E-120E_90S-90N_1981.nc, 1981, DOMEGADP, 775 OK
/home/jwalker/datastore/merra2/daily/1981/merra2_DOMEGADP700_40E-120E_90S-90N_1981.nc, 1981, DOMEGADP, 700 OK
/home/jwalker/datastore/merra2/daily/1981/merra2_DOMEGADP600_40E-120E_90S-90N_1981.nc, 1981, DOMEGADP, 600 OK
/home/jwalker/datastore/merra2/daily/1981/merra2_DOMEGADP500_40E-120E_90S-90N_1981.nc, 1981, DOMEGADP, 500 OK
/home/jwalker/datastore/merra2/daily/1981/merra2_DOMEGADP400_40E-120E_90S-90N_1981.nc, 1981, DOMEGADP, 400 OK
/home/jwalker/datastore/merra2/daily/1981/merra2_DOMEGADP300_40E-120E_90S-90N_1981.nc, 1981, DOMEGADP, 300 OK
/home/jwalker/datastore/merra2/daily/1981/merra2_DOMEGADP250_40E-120E_90S-90N_1981.nc, 1981, DOMEGADP, 250 OK
/home/jwalker/datastore/merra2/daily/1981/merra2_DOMEGADP200_40E-120E_90S-90N_1981.nc, 1981, DOMEGADP, 200 OK
/home/jwalker/datastore/merra2/daily/1981/merra2_DOMEGADP150_40E-120E_90S-90N_1981.nc, 1981, DOMEGADP, 150 OK
/home/jwalker/datastore/merra2/daily/1981/merra2_DOMEGADP100_40E-120E_90S-90N_1981.nc, 1981, DOMEGADP, 100 OK
/home/jwalker/datastore/merra2/daily/1981/merra2_DOMEGADP70_40E-120E_90S-90N_1981.nc, 1981, DOMEGADP, 70 OK
